name,nat,dob,bp,ateam,league,year,dteam,overall,removed,why,height,weight,pos,shoots
Sylvain Locas,CAN,1958-02-17,"Chicoutimi, QC  CAN",Sherbrooke Beavers,QMJHL,1978-01-01,17,95,N,,69.0,168.0,C,L
David Feamster,USA,1958-09-10,"Detroit, MI  USA",Colorado College,NCAA,1978-01-01,16,96,N,,71.0,180.0,D,L
Greg Meredith,CAN,1958-02-23,"Toronto, ON  CAN",Notre Dame,NCAA,1978-01-01,47,97,N,,72.0,209.0,RW,R
Normand Lefebvre,CAN,1958-05-24,"Montreal, QC  CAN",Trois Rivieres Draveurs,QMJHL,1978-01-01,10,98,N,,70.0,174.0,RW,L
Cam Macgregor,CAN,1958-01-29,"Kingston, ON  CAN",Cornwall Royals,QMJHL,1978-01-01,7,99,N,,70.0,191.0,LW,L
Mark Taylor,CAN,1958-06-01,"Vancouver, BC  CAN",U. Of North Dakota,NCAA,1978-01-01,4,100,N,,72.0,189.0,C,L
Kelly Davis,CAN,1958-09-23,"Grand Prairie, AB  CAN",Flin Flon Bombers,WCHL,1978-01-01,2,101,N,,74.0,200.0,D,L
Jeffrey Brubaker,USA,1958-02-24,"Frederick, MD  USA",Peterborough Petes,OHA,1978-01-01,6,102,N,,74.0,207.0,LW,L
Keith Acton,CAN,1958-04-15,"Stouffville, ON  CAN",Peterborough Petes,OHA,1978-01-01,8,103,N,,68.0,170.0,C,L
Kim Spencer,CAN,1958-09-01,"Edmonton, AB  CAN",Victoria Cougars,WCHL,1978-01-01,31,104,N,,75.0,209.0,D,R
Mats Hallin,SWE,1958-03-19,"Eskilstuna, Sweden",Sodertalje Sk,SEL,1978-01-01,15,105,N,,74.0,200.0,C,L
Steve Stockman,CAN,1958-04-12,"Toronto, ON  CAN",Cornwall Royals,QMJHL,1978-01-01,19,106,N,,71.0,194.0,C,L
Dave Ross,CAN,1958-03-20,"Indian Head, SK  CAN",Portland Winter Hawks,WCHL,1978-01-01,23,107,N,,73.0,188.0,RW,L
Andy Clark,CAN,1958-07-26,"Downsview, ON  CAN",Lake Superior State U.,NCAA,1978-01-01,35,108,N,,,,D,
Paul Maclean,FRA,1958-03-09,"Grostenquin, France",Hull Olympiques,QMJHL,1978-01-01,19,109,N,,74.0,218.0,RW,R
Dan Clark,CAN,1957-11-03,"Toronto, ON  CAN",Milwaukee Admirals,IHL,1978-01-01,3,110,N,,73.0,195.0,D,L
Don Waddell,USA,1958-08-19,"Detroit, MI  USA",Northern Michigan U.,NCAA,1978-01-01,26,111,N,,70.0,182.0,C,L
Wes George,CAN,1958-09-26,"Young, SK  CAN",Saskatoon Blades,WCHL,1978-01-01,17,112,N,,75.0,220.0,LW,L
Dave Mancuso,CAN,1958-08-21,"Sault Ste. Marie, ON  CAN",Windsor Spitfires,OHA,1978-01-01,16,113,N,,72.0,190.0,D,L
David Hindmarch,CAN,1958-10-15,"Vancouver, BC  CAN",U. Of Alberta,CIAU,1978-01-01,47,114,N,,71.0,182.0,RW,R
John Scammell,CAN,1958-04-13,"West Vancouver, BC  CAN",Lethbridge Broncos,WCHL,1978-01-01,10,115,N,,69.0,172.0,D,R
Dan Eastman,CAN,1957-07-13,"Peterborough, ON  CAN",Saginaw Gears,IHL,1978-01-01,7,116,N,,74.0,185.0,C,R
Mike Ewanowski,USA,1958-04-09,"Brookline, MA  USA",Boston College,NCAA,1978-01-01,4,117,N,,71.0,188.0,RW,
Rick Pepin,CAN,1958-01-30,"Montreal, QC  CAN",Laval National,QMJHL,1978-01-01,2,118,N,,71.0,180.0,RW,L
Murray Skinner,CAN,1958-08-07,"Fort Frances, ON  CAN",Lake Superior State U.,NCAA,1978-01-01,6,119,N,,70.0,182.0,G,
Jim Lawson,CAN,1958-08-10,"Hamilton, ON  CAN",Brown U.,NCAA,1978-01-01,8,120,N,,72.0,189.0,RW,L
Mike Cotter,CAN,1958-07-01,"Toronto, ON  CAN",Bowning Green,NCAA,1978-01-01,31,121,N,,,,D,
Richard Sirois,CAN,1957-03-10,"Montreal, QC  CAN",Milwaukee Admirals,IHL,1978-01-01,15,122,N,,72.0,185.0,G,
Denis Houle,CAN,1958-08-19,"Sudbury, ON  CAN",Hamilton Fincups,OHA,1978-01-01,19,123,N,,70.0,178.0,LW,L
Steve O'Neill,USA,1958-10-08,"Framingham, MA  USA",Providence College,NCAA,1978-01-01,23,124,N,,71.0,165.0,LW,
John Olver,CAN,1958-08-03,"North Burnaby, BC  CAN",U. Of Michigan,NCAA,1978-01-01,35,125,N,,73.0,180.0,RW,
Jerry Price,CAN,1958-05-14,"Coronation, AB  CAN",Portland Winter Hawks,WCHL,1978-01-01,4,126,N,,71.0,170.0,G,
Greg Kostenko,CAN,1958-04-20,"Winnipeg, MB  CAN",Ohio State U.,NCAA,1978-01-01,3,127,N,,70.0,174.0,D,L
Bob Mierkalns,CAN,1958-09-29,"Hamilton, ON  CAN",Hamilton Fincups,OHA,1978-01-01,26,128,N,,73.0,185.0,C,L
John Barrett,CAN,1958-07-01,"Ottawa, ON  CAN",Windsor Spitfires,OHA,1978-01-01,17,129,N,,73.0,210.0,D,L
Sandy Ross,CAN,1958-07-07,"Windsor, ON  CAN",Colgate U.,NCAA,1978-01-01,16,130,N,,74.0,190.0,D,
Dave Morrison,CAN,1958-05-30,"Port Arthur, ON  CAN",Calgary Wranglers,WCHL,1978-01-01,47,131,N,,72.0,180.0,RW,R
Kevin Reinhart,CAN,1958-08-22,"Kitchener, ON  CAN",Kitchener Rangers,OHA,1978-01-01,10,132,N,,71.0,212.0,D,L
Eric Strobel,USA,1958-06-05,"Rochester, MN  USA",U. Of Minnesota,NCAA,1978-01-01,7,133,N,,70.0,174.0,C,R
Darre Switzer,CAN,1958-07-16,"Pouce Coupe, BC  CAN",Medicine Hat Tigers,WCHL,1978-01-01,4,134,N,,72.0,185.0,C,L
Dave Cameron,CAN,1958-07-29,"Charlottetown, PE  CAN",U. Of Prince Edward Island,CIAU,1978-01-01,2,135,N,,72.0,185.0,C,L
Bobby Hehir,USA,1958-10-15,"Worcester, MA  USA",Boston College,NCAA,1978-01-01,6,136,N,,71.0,185.0,C,
Larry Landon,CAN,1958-05-04,"Niagara Falls, ON  CAN",R.P.I.,NCAA,1978-01-01,8,137,N,,72.0,191.0,LW,R
Brent Gogol,CAN,1958-01-15,"Calgary, AB  CAN",Billings Bighorns,WCHL,1978-01-01,31,138,N,,74.0,185.0,RW,R
Denis Pomerleau,CAN,1958-04-14,"Rouyn-Noranda, QC  CAN",Trois Rivieres Draveurs,QMJHL,1978-01-01,15,139,N,,67.0,165.0,RW,R
Tony Meagher,CAN,,"Belleville, ON  CAN",Boston University,NCAA,1978-01-01,19,140,N,,69.0,165.0,RW,R
Charles Antetomaso,USA,1958-10-14,"Wakefield, MA  USA",Boston College,NCAA,1978-01-01,23,141,N,,71.0,175.0,D,L
Kevin Krook,CAN,1958-04-05,"Cold Lake, AB  CAN",Regina Pats,WCHL,1978-01-01,35,142,N,,71.0,187.0,D,L
Rick Simpson,CAN,1958-10-20,"Hay River, NT  CAN",Medicine Hat Tigers,WCHL,1978-01-01,19,143,N,,73.0,197.0,LW,L
Brian Mcdavid,CAN,1958-04-14,"Sudbury, ON  CAN",Kitchener Rangers,OHA,1978-01-01,3,144,N,,73.0,190.0,D,R
Rick Scully,CAN,1958-06-30,"Moncton, NB  CAN",Brown U.,NCAA,1978-01-01,26,145,N,,70.0,174.0,RW,
Jim Malazdrewicz,CAN,1958-03-11,"Winnipeg, MB  CAN",St. Boniface Saints,MJHL,1978-01-01,17,146,N,,68.0,174.0,RW,R
Mark Locken,CAN,1958-02-09,"Scarborough, ON  CAN",Niagara Falls Flyers,OHA,1978-01-01,16,147,N,,70.0,174.0,G,L
Doug Todd,CAN,1958-04-14,"Stouffville, ON  CAN",U. Of Michigan,NCAA,1978-01-01,47,148,N,,73.0,195.0,C,R
Mike Waghorne,USA,1958-05-28,"Oak Park, IL  USA",U. Of New Hampshire,NCAA,1978-01-01,10,149,N,,75.0,205.0,D,
Eugene O'Sullivan,CAN,1958-04-03,"Winnipeg, MB  CAN",Calgary Wranglers,WCHL,1978-01-01,7,150,N,,73.0,185.0,C,L
Greg Francis,CAN,1958-04-07,"Halifax, NS  CAN",St. Lawrence University,NCAA,1978-01-01,4,151,N,,72.0,185.0,D,
Paul Joswiak,USA,,"Mahtomedi, MN  USA",U. Of Minnesota,NCAA,1978-01-01,2,152,N,,68.0,165.0,G,
Craig Mactavish,CAN,1958-08-15,"London, ON  CAN",U. Of Lowell,NCAA,1978-01-01,6,153,N,,73.0,200.0,C,L
Kevin Constantine,USA,1958-12-27,"International Falls, MN  USA",R.P.I.,NCAA,1978-01-01,8,154,N,,70.0,165.0,G,
Mike Seide,USA,1958-10-24,"St. Anthony, MN  USA",Bloomington Junior Stars,USHL,1978-01-01,31,155,N,,75.0,205.0,LW,
Barry Heard,CAN,1958-12-28,"Port Perry, ON  CAN",London Knights,OHA,1978-01-01,15,156,N,,70.0,145.0,G,L
Jim Lockhurst,CAN,1958-11-25,"Brampton, ON  CAN",Kingston Canadians,OHA,1978-01-01,19,157,N,,70.0,174.0,G,L
Rick Martens,CAN,1958-09-22,"Vancouver, BC  CAN",New Westminster Bruins,WCHL,1978-01-01,23,158,N,,72.0,180.0,G,
Jeff Jensen,USA,1958-01-30,"Minneapolis, MN  USA",Lake Superior State U.,NCAA,1978-01-01,35,159,N,,73.0,183.0,LW,L
Robert Froese,CAN,1958-06-30,"St. Catharines, ON  CAN",Niagara Falls Flyers,OHA,1978-01-01,19,160,N,,70.0,176.0,G,L
Mark Rodrigues,USA,,"Stoughton, MA  USA",Yale University,NCAA,1978-01-01,3,161,N,,73.0,174.0,G,L
Brad Thiessen,CAN,1958-02-05,"Winnipeg, MB  CAN",Toronto Marlboros,OHA,1978-01-01,26,162,N,,73.0,185.0,C,L
Geoff Shaw,CAN,1958-11-26,"Toronto, ON  CAN",Hamilton Fincups,OHA,1978-01-01,17,163,N,,72.0,194.0,RW,R
Glenn Van,USA,1958-12-24,"St. Paul, MN  USA",Colorado College,NCAA,1978-01-01,16,164,N,,72.0,185.0,D,
Mark Green,USA,1958-02-11,"New Brunswick, NJ  USA",Sherbrooke Beavers,QMJHL,1978-01-01,47,165,N,,70.0,176.0,C,L
Laurie Cuvelier,CAN,1958-10-13,"Dartmouth, NS  CAN",St. Francis Xavier University,CIAU,1978-01-01,10,166,N,,73.0,190.0,D,
Rick Berard,CAN,,"St. Catherines, ON  CAN",St. Mary'S University,CIAU,1978-01-01,4,167,N,,74.0,203.0,D,
Don Lucia,USA,1958-08-20,"Grand Rapids, MN  USA",Notre Dame,NCAA,1978-01-01,4,168,N,,72.0,185.0,D,
Scott Cameron,CAN,1958-05-05,"Toronto, ON  CAN",Notre Dame,NCAA,1978-01-01,2,169,N,,74.0,205.0,D,
Dan Lerg,USA,1958-01-15,"Southfield, MI  USA",U. Of Michigan,NCAA,1978-01-01,19,170,N,,68.0,165.0,C,
John Swan,CAN,1958-03-17,"Burnaby, BC  CAN",Mcgill University,CIAU,1978-01-01,8,171,N,,69.0,165.0,C,
Mark Toffolo,USA,1957-08-27,"Buffalo, NY  USA",Port Huron Flags,IHL,1978-01-01,15,172,N,,72.0,185.0,D,L
Risto Siltanen,FIN,1958-10-31,"Tampere, Finland",Ilves Tampere,FINLAND,1978-01-01,19,173,N,,66.0,189.0,D,R
Bo Ericsson,SWE,1958-01-23,,,AIK,1978-01-01,35,174,N,,70.0,179.0,D,L
Dan Hermansson,SWE,1958-01-30,,,Sweden,1978-01-01,19,175,N,,69.0,185.0,C,
Stephen Weeks,CAN,1958-06-30,"Scarborough, ON  CAN",Northern Michigan U.,NCAA,1978-01-01,3,176,N,,71.0,170.0,G,L
Jim Armstrong,USA,1958-03-17,"Ithaca, NY  USA",Clarkson U.,NCAA,1978-01-01,26,177,N,,72.0,189.0,LW,
Carl Van Harrewyn,CAN,1958-06-11,"Winnipeg, MB  CAN",New Westminster Bruins,WCHL,1978-01-01,17,178,N,,71.0,185.0,D,R
Darryl Sutter,CAN,1958-08-19,"Viking, AB  CAN",Lethbridge Broncos,WCHL,1978-01-01,16,179,N,,71.0,175.0,C,L
Bob Sullivan,CAN,1957-11-29,"Noranda, QC  CAN",Toledo Goaldiggers,IHL,1978-01-01,47,180,N,,72.0,225.0,LW,L
Jean-Francois Boutin,CAN,1958-05-21,"Thetford Mines, QC  CAN",Verdun Black Hawks,QMJHL,1978-01-01,19,181,N,,71.0,170.0,LW,L
Mark Berge,USA,1958-09-20,"Grand Forks, ND  USA",U. Of North Dakota,NCAA,1978-01-01,4,182,N,,70.0,200.0,RW,
Ken Moore,USA,1958-04-19,"Acton, MA  USA",Clarkson U.,NCAA,1978-01-01,4,183,N,,71.0,165.0,G,
Christer Lowdahl,SWE,1958-02-28,"Linkoping, Sweden",,Sweden,1978-01-01,2,184,N,,,,C,
John Sullivan,USA,1958-11-15,"Bloomington, MN  USA",Providence College,NCAA,1978-01-01,19,185,N,,70.0,170.0,RW,
Dan Metivier,CAN,1958-10-04,"Montreal, QC  CAN",Hull Olympiques,QMJHL,1978-01-01,8,186,N,,68.0,160.0,RW,R
Paul Hogan,CAN,1958-03-21,"London, ON  CAN",Regina Pats,WCHL,1978-01-01,15,187,N,,70.0,159.0,LW,L
Serge Menard,CAN,1958-03-28,"Sorel, QC  CAN",Montreal Juniors,QMJHL,1978-01-01,19,188,N,,72.0,196.0,RW,R
Steve Barger,USA,1958-06-07,"Farmington, MN  USA",Boston College,NCAA,1978-01-01,15,189,N,,70.0,189.0,RW,
Jari Viitala,FIN,1958-12-01,"Tampere, Finland",,Finland,1978-01-01,35,190,N,,68.0,174.0,C,L
Don Boyd,CAN,1958-05-23,"Montreal, QC  CAN",R.P.I.,NCAA,1978-01-01,19,191,N,,70.0,169.0,C,L
Pierre Daigneault,CAN,1958-03-24,"Montreal, QC  CAN",,St. Laurent College,1978-01-01,3,192,N,,71.0,185.0,RW,L
Claude Larochelle,CAN,1958-04-15,"St. Laurent-Gallichan, QC  CAN",Hull Olympiques,QMJHL,1978-01-01,26,193,N,,68.0,171.0,C,R
Ladislav Svozil,CZE,1958-05-08,"Prostejov, Czech Republic",,Czechoslovakia,1978-01-01,17,194,N,,73.0,185.0,LW,L
Jim Olson,USA,1958-04-24,"St. Paul, MN  USA",St. Paul Vulcans,USHL,1978-01-01,4,195,N,,73.0,210.0,LW,
Bernhard Engelbrecht,DEU,1958-02-16,"Landshut, Germany",Landshut Ev,GERMANY,1978-01-01,47,196,N,,68.0,163.0,G,L
Paul Stasiuk,CAN,1958-08-22,"Kitchener, ON  CAN",Providence College,NCAA,1978-01-01,19,197,N,,70.0,169.0,LW,
Anton Stastny,SVK,1959-08-05,"Bratislava, Slovakia",Bratislava,Slovakia,1978-01-01,4,198,Y,Unsigned,72.0,188.0,LW,L
Gunnar Persson,SWE,1958-08-24,"Gavle, Sweden",,Sweden,1978-01-01,2,199,N,,72.0,181.0,D,L
Gerd Truntschka,DEU,1958-09-10,"Landshut, Germany",Cologne,West Germany,1978-01-01,19,200,N,,68.0,170.0,C,
Viacheslav Fetisov,RUS,1958-04-20,"Moscow, Russia",Cska,Russia,1978-01-01,8,201,Y,Unsigned,73.0,215.0,D,L
Rod Pacholzuk,CAN,1958-03-06,"Penticton, BC  CAN",U. Of Michigan,NCAA,1978-01-01,15,202,N,,72.0,190.0,D,L
Victor Shkurdyuk,KAZ,1958-06-03,"Ust-Kamenogorsk, Kazakhstan",,USSR,1978-01-01,19,203,N,,69.0,163.0,C,
Ulf Zetterstrom,SWE,1958-04-12,"Kiruna, Sweden",,Sweden,1978-01-01,35,204,N,,,,C,
Carl Bloomberg,USA,1958-11-09,"Bloomington, MN  USA",St. Louis University,NCAA,1978-01-01,19,205,N,,,,G,
Chris Mclaughlin,USA,1958-08-29,"Ithaca, NY  USA",Dartmouth College,NCAA,1978-01-01,3,206,N,,72.0,170.0,D,L
Terry Kitching,CAN,1958-06-17,"Winnipeg, MB  CAN",Boston University,NCAA,1978-01-01,19,207,N,,73.0,195.0,RW,
Tom Bailey,CAN,1958-01-22,"St. Mary's, ON  CAN",Kingston Canadians,OHA,1978-01-01,17,208,N,,76.0,190.0,C,R
Brian O'Connor,USA,1959-12-28,"New Haven, CT  USA",Boston University,NCAA,1978-01-01,19,209,N,,75.0,211.0,D,
Brian Crombeen,CAN,1958-10-30,"Sarnia, ON  CAN",Kingston Canadians,OHA,1978-01-01,19,210,N,,68.0,174.0,D,
Mike Pidgeon,CAN,1958-01-27,"Toronto, ON  CAN",Oshawa Generals,OHA,1978-01-01,19,211,N,,74.0,188.0,C,L
Jeff Mars,USA,1958-11-10,"Duluth, MN  USA",U. Of Michigan,NCAA,1978-01-01,8,212,N,,72.0,200.0,RW,R
Wesley Jarvis,CAN,1958-05-30,"Toronto, ON  CAN",Windsor Spitfires,OHA,1978-01-01,15,213,N,,71.0,185.0,C,L
John Cochrane,USA,1958-02-08,"Cambridge, MA  USA",Harvard U.,NCAA,1978-01-01,19,214,N,,72.0,180.0,RW,
Ray Irwin,CAN,1958-01-30,"Sudbury, ON  CAN",Oshawa Generals,OHA,1978-01-01,15,215,N,,71.0,180.0,D,L
Joe Casey,USA,1958-12-29,"Minneapolis, MN  USA",Boston College,NCAA,1978-01-01,19,216,N,,70.0,168.0,D,
Todd Johnson,USA,1958-04-16,"Newton, MA  USA",Boston University,NCAA,1978-01-01,3,217,N,,70.0,175.0,C,L
Jim Farrell,USA,1958-07-23,"Weston, MA  USA",Princeton University,NCAA,1978-01-01,19,218,N,,74.0,185.0,C,
Larry Lozinski,CAN,1958-10-16,"Hudson Bay, SK  CAN",Flin Flon Bombers,WCHL,1978-01-01,17,219,N,,71.0,175.0,G,
Frank Johnson,USA,1958-11-10,"Rockton, MA  USA",Providence College,NCAA,1978-01-01,19,220,N,,70.0,174.0,D,
Blair Wheeler,CAN,1958-09-02,"Moose Jaw, SK  CAN",Yale University,NCAA,1978-01-01,19,221,N,,71.0,180.0,D,
Greg Tignanelli,USA,1958-10-16,"St. Clair Shores, MI  USA",Northern Michigan U.,NCAA,1978-01-01,8,222,N,,73.0,203.0,RW,
Daniel Mccarthy,CAN,1958-04-07,"St. Mary's, ON  CAN",Sudbury Wolves,OHA,1978-01-01,3,223,N,,70.0,174.0,C,L
Randy Betty,CAN,1958-09-01,"Edmonton, AB  CAN",New Westminster Bruins,WCHL,1978-01-01,17,224,N,,74.0,216.0,LW,L
George Goulakos,CAN,1958-09-15,"Montreal, QC  CAN",St. Lawrence University,NCAA,1978-01-01,8,225,N,,73.0,180.0,LW,L
Brian Crawley,CAN,,"Oshawa, ON  CAN",St. Lawrence University,NCAA,1978-01-01,17,226,N,,72.0,175.0,D,L
Ken Moodie,CAN,1958-07-18,"Oakville, ON  CAN",Colgate U.,NCAA,1978-01-01,8,227,N,,72.0,200.0,RW,R
Doug Feasby,CAN,,"Stouffville, ON  CAN",Toronto Marlboros,OHA,1978-01-01,17,228,N,,70.0,170.0,C,L
Serge Leblanc,CAN,1958-05-18,"Montreal, QC  CAN",U. Of Vermont,NCAA,1978-01-01,8,229,N,,68.0,172.0,D,R
Robert Magnuson,USA,1958-03-28,"Sudbury, MA  USA",Merrimack College,NCAA,1978-01-01,8,230,N,,71.0,165.0,C,L
Christopher Nilan,USA,1958-02-09,"Boston, MA  USA",Northeastern U.,NCAA,1978-01-01,8,231,N,,72.0,205.0,RW,R
Rick Wilson,CAN,1958-08-10,"Toronto, ON  CAN",St. Lawrence University,NCAA,1978-01-01,8,232,N,,73.0,187.0,G,L
Louis Sleigher,CAN,1958-10-23,"Nouvelle, QC  CAN",Chicoutimi Sagueneens,QMJHL,1978-01-01,8,233,N,,70.0,200.0,RW,R
Doug Robb,CAN,1958-01-25,"Orillia, ON  CAN",Billings Bighorns,WCHL,1978-01-01,8,234,N,,68.0,176.0,RW,L
Rob Ramage,CAN,1959-01-11,"Byron, ON  CAN",Birmingham Bulls,WHA,1979-01-01,35,1,N,,74.0,200.0,D,R
Perry Turnbull,CAN,1959-03-09,"Bentley, AB  CAN",Portland Winter Hawks,WHL,1979-01-01,19,2,N,,74.0,200.0,C,L
Mike Foligno,CAN,1959-01-29,"Sudbury, ON  CAN",Sudbury Wolves,OHA,1979-01-01,17,3,N,,74.0,195.0,RW,R
Mike Gartner,CAN,1959-10-29,"Ottawa, ON  CAN",Cincinnati Stingers,WHA,1979-01-01,15,4,N,,72.0,190.0,RW,R
Rick Vaive,CAN,1959-05-14,"Ottawa, ON  CAN",Birmingham Bulls,WHA,1979-01-01,23,5,N,,73.0,198.0,RW,R
Craig Hartsburg,CAN,1959-06-29,"Stratford, ON  CAN",Sault Ste. Marie Greyhounds,OHA,1979-01-01,31,6,N,,73.0,200.0,D,L
Keith Brown,CAN,1960-05-06,"Corner Brook, NL  CAN",Portland Winter Hawks,WHL,1979-01-01,16,7,N,,73.0,192.0,D,R
Ray Bourque,CAN,1960-12-28,"Montreal, QC  CAN",Verdun Black Hawks,QMJHL,1979-01-01,6,8,N,,72.0,223.0,D,L
Laurie Boschman,CAN,1960-06-04,"Major, SK  CAN",Brandon Wheat Kings,WHL,1979-01-01,10,9,N,,72.0,185.0,C,L
Tom Mccarthy,CAN,1960-07-31,"Toronto, ON  CAN",Oshawa Generals,OHA,1979-01-01,31,10,N,,74.0,200.0,LW,L
Mike Ramsey,USA,1960-12-03,"Minneapolis, MN  USA",U. Of Minnesota,NCAA,1979-01-01,7,11,N,,75.0,195.0,D,L
Paul Reinhart,CAN,1960-01-08,"Kitchener, ON  CAN",Kitchener Rangers,OHA,1979-01-01,47,12,N,,70.0,205.0,D,L
Doug Sulliman,CAN,1959-08-29,"Glace Bay, NS  CAN",Kitchener Rangers,OHA,1979-01-01,3,13,N,,74.0,209.0,LW,L
Brian Propp,CAN,1959-02-15,"Lanigan, SK  CAN",Brandon Wheat Kings,WHL,1979-01-01,4,14,N,,70.0,195.0,LW,L
Brad Mccrimmon,CAN,1959-03-29,"Dodsland, SK  CAN",Brandon Wheat Kings,WHL,1979-01-01,6,15,N,,71.0,197.0,D,L
Gordon Wells,CAN,1959-05-18,"Paris, ON  CAN",Kingston Canadians,OHA,1979-01-01,26,16,N,,73.0,210.0,D,L
Duane Sutter,CAN,1960-03-16,"Viking, AB  CAN",Lethbridge Broncos,WHL,1979-01-01,2,17,N,,72.0,189.0,RW,R
Ray Allison,CAN,1959-03-04,"Cranbrook, BC  CAN",Brandon Wheat Kings,WHL,1979-01-01,34,18,N,,70.0,195.0,RW,R
Jimmy Mann,CAN,1959-04-17,"Montreal, QC  CAN",Sherbrooke Beavers,QMJHL,1979-01-01,33,19,N,,72.0,205.0,RW,R
Michel Goulet,CAN,1960-04-21,"Peribonqua, QC  CAN",Birmingham Bulls,WHA,1979-01-01,32,20,N,,73.0,195.0,LW,L
Kevin Lowe,CAN,1959-04-15,"Lachute, QC  CAN",Quebec Remparts,QMJHL,1979-01-01,22,21,N,,74.0,200.0,D,L
Blake Wesley,CAN,1959-07-10,"Red Deer, AB  CAN",Portland Winter Hawks,WHL,1979-01-01,4,22,N,,72.0,200.0,D,L
Mike Perovich,CAN,1959-05-20,"Peterborough, ON  CAN",Brandon Wheat Kings,WHL,1979-01-01,47,23,N,,72.0,202.0,D,L
Errol Rausse,CAN,1959-05-18,"Quesnel, BC  CAN",Seattle Breakers,WHL,1979-01-01,15,24,N,,69.0,178.0,LW,L
Tomas Jonsson,SWE,1960-04-12,"Falun, Sweden",,Sweden,1979-01-01,2,25,N,,70.0,185.0,D,L
Brent Ashton,CAN,1960-05-18,"Saskatoon, SK  CAN",Saskatoon Blades,WHL,1979-01-01,23,26,N,,73.0,210.0,LW,L
Gaston Gingras,CAN,1959-02-13,"North Bay, ON  CAN",Birmingham Bulls,WHA,1979-01-01,8,27,N,,73.0,200.0,D,L
Tim Trimper,CAN,1959-09-28,"Windsor, ON  CAN",Peterborough Petes,OHA,1979-01-01,16,28,N,,68.0,185.0,LW,L
Dean Hopkins,CAN,1959-06-06,"Cobourg, ON  CAN",London Knights,OHA,1979-01-01,26,29,N,,73.0,210.0,RW,R
Mark Hardy,CHE,1959-02-01,"Semaden, Switzerland",Montreal Juniors,QMJHL,1979-01-01,26,30,N,,71.0,195.0,D,L
Paul Marshall,CAN,1960-09-07,"Toronto, ON  CAN",Brantford Alexanders,OHA,1979-01-01,5,31,N,,74.0,182.0,LW,
Lindy Ruff,CAN,1960-02-17,"Warburg, AB  CAN",Lethbridge Broncos,WHL,1979-01-01,7,32,N,,74.0,201.0,LW,L
Pat Riggin,CAN,1959-05-26,"Kincardine, ON  CAN",London Knights,OHA,1979-01-01,47,33,N,,68.0,169.0,G,L
Edward Hospodar,USA,1959-02-09,"Bowling Green, OH  USA",Ottawa 67'S,OHA,1979-01-01,3,34,N,,74.0,210.0,D,R
Per-Eric Lindbergh,SWE,1959-05-24,"Stockholm, Sweden",,Sweden,1979-01-01,4,35,N,,69.0,198.0,G,L
Doug Morrison,CAN,1960-02-01,"Vancouver, BC  CAN",Lethbridge Broncos,WHL,1979-01-01,6,36,N,,70.0,185.0,RW,R
Mats Naslund,SWE,1959-10-31,"Kiruna, Sweden",,Sweden,1979-01-01,8,37,N,,66.0,160.0,LW,L
Billy Carroll,CAN,1959-01-19,"Toronto, ON  CAN",London Knights,OHA,1979-01-01,2,38,N,,70.0,190.0,C,L
Stu Smith,CAN,1960-03-17,"Toronto, ON  CAN",Peterborough Petes,OHA,1979-01-01,34,39,N,,73.0,200.0,D,R
Dave Christian,USA,1959-05-12,"Warroad, MN  USA",U. Of North Dakota,NCAA,1979-01-01,33,40,N,,72.0,180.0,RW,R
Dale Hunter,CAN,1960-07-31,"Petrolia, ON  CAN",Sudbury Wolves,OHA,1979-01-01,32,41,N,,70.0,200.0,C,L
Neal Broten,USA,1959-11-29,"Roseau, MN  USA",U. Of Minnesota,NCAA,1979-01-01,31,42,N,,70.0,175.0,C,L
Craig Levie,CAN,1959-08-17,"Calgary, AB  CAN",Edmonton Oil Kings,WHL,1979-01-01,8,43,N,,69.0,191.0,D,R
Guy Carbonneau,CAN,1960-03-18,"Sept-Iles, QC  CAN",Chicoutimi Sagueneens,QMJHL,1979-01-01,8,44,N,,71.0,186.0,C,R
Joseph Gage,CAN,1959-11-29,"Toronto, ON  CAN",Kitchener Rangers,OHA,1979-01-01,17,45,N,,72.0,190.0,RW,R
Boris Fistric,CAN,1960-09-15,"Edmonton, AB  CAN",New Westminster Bruins,WHL,1979-01-01,17,46,N,,75.0,220.0,D,L
Ken Ellacott,CAN,1959-03-03,"Paris, ON  CAN",Peterborough Petes,OHA,1979-01-01,23,47,N,,68.0,154.0,G,L
Mark Messier,CAN,1961-01-18,"Edmonton, AB  CAN",Cincinnati Stingers,WHA,1979-01-01,22,48,N,,74.0,211.0,C,L
Bill Gardner,CAN,1960-03-18,"Toronto, ON  CAN",Peterborough Petes,OHA,1979-01-01,16,49,N,,70.0,180.0,C,L
John Kelly,CAN,1959-11-15,"Edmonton, AB  CAN",New Westminster Bruins,WHL,1979-01-01,26,50,N,,73.0,215.0,LW,L
Normand Aubin,CAN,1960-07-26,"St. Leonard, QC  CAN",Verdun Black Hawks,QMJHL,1979-01-01,10,51,N,,72.0,185.0,C,L
Bennett Wolf,CAN,1959-10-23,"Kitchener, ON  CAN",Kitchener Rangers,OHA,1979-01-01,5,52,N,,75.0,205.0,D,
Mark Robinson,CAN,1960-03-30,"Prince Albert, SK  CAN",Victoria Cougars,WHL,1979-01-01,7,53,N,,72.0,187.0,D,
Tim Hunter,CAN,1960-09-10,"Calgary, AB  CAN",Seattle Breakers,WHL,1979-01-01,47,54,N,,74.0,200.0,RW,R
